claim_id,citation_key,source_id,short,status,equations,source_verified,exactness,confidence,statement,formula_ascii,conclusion
dimockii.appendixf.eq634.input-decay,dimockii.appendix-f.cluster-with-holes,dimock_ii,Dimock II,source_extracted,"633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 646",True,normalized_formula,cross_checked,Appendix-F input activity bound.,"|H(X,Phi_prime,Phi)| <= H0 * exp(-kappa * d_M(X, mod Omega^c))",Input to Theorem F.1.
dimockii.appendixf.eq636.hsharp-decay,dimockii.appendix-f.cluster-with-holes,dimock_ii,Dimock II,source_extracted,"633, 634, 635, 636, 637, 638, 639, 640, 641, 642, 643, 644, 645, 646",True,normalized_formula,cross_checked,Final cluster-with-holes activity bound.,"|H#(Y,Phi_prime)| <= O(1) * H0 * exp(-(kappa - 3*kappa0 - 3) * d_M(Y, mod Omega^c))","Xi = exp(sum_Y H#(Y,Phi_prime)), with Y intersect Lambda nonempty."
dimockii.eq641.metric-stitching,dimockii.appendix-f.metric-first-activity.637-644,dimock_ii,Dimock II,source_extracted,"637, 638, 639, 640, 641, 642, 643, 644",True,normalized_formula,cross_checked,Modified-metric stitching for an Ω-connected family.,"d_M(Y, mod Omega^c) <= sum_i d_M(X_i, mod Omega^c) + (n-1)",Eq. (641).
dimockii.eq642.first-activity-decay,dimockii.appendix-f.metric-first-activity.637-644,dimock_ii,Dimock II,source_extracted,"637, 638, 639, 640, 641, 642, 643, 644",True,normalized_formula,cross_checked,First connected activity bound after cover entropy and metric stitching.,"|K(Y)| <= O(1)*H0*exp(-(kappa-kappa0-2)*d_M(Y, mod Omega^c))",Eq. (642).
dimockii.eq644.ultralocal-ksharp,dimockii.appendix-f.metric-first-activity.637-644,dimock_ii,Dimock II,source_extracted,"637, 638, 639, 640, 641, 642, 643, 644",True,normalized_formula,cross_checked,Ultralocal integration defining K#.,"K#(Y,Phi_prime) = integral K(Y,Phi_prime,Phi) dmu_Lambda(Phi)",K# inherits the Eq. (642) bound.
dimockii.eq646.second-ursell,dimockii.appendix-f.second-ursell.645-646,dimock_ii,Dimock II,source_extracted,"645, 646",True,normalized_formula,cross_checked,Definition of the final connected activity H#.,"H#(Y) = sum_{n>=1} 1/n! * sum_{(Y1,...,Yn): union_i Yi=Y} rho^T(Y1,...,Yn) * product_i K#(Yi)","Eq. (646), used with Eqs. (637),(638),(641),(642) to obtain Eq. (636)."
dimockii.eq503.cluster-representation,dimockii.cluster-with-holes.501-506,dimock_ii,Dimock II,source_extracted,"501, 502, 503, 504, 505, 506",True,normalized_formula,text_checked,Cluster-expanded large-field fluctuation integral.,"Xi''_(k,Pi+)(t,u) = exp(sum_{Y intersect Lambda_(k+1) != empty} H#_(k,Pi+)(t,u,Y))",Eq. (503).
dimockii.eq504.cluster-output-decay,dimockii.cluster-with-holes.501-506,dimock_ii,Dimock II,source_extracted,"501, 502, 503, 504, 505, 506",True,normalized_formula,text_checked,Output decay from Lemma 3.18.,"|H#_(k,Pi+)(t,u,Y)| <= O(1)*exp(-L*(kappa-6*kappa0-6)*d_LM(Y, mod Omega_(k+1)^c))",Eq. (504).
dimockii.eq506.cluster-input-decay,dimockii.cluster-with-holes.501-506,dimock_ii,Dimock II,source_extracted,"501, 502, 503, 504, 505, 506",True,normalized_formula,text_checked,The assembled activity bound used as Appendix-F input.,"|H_(k,Pi+)(t,u,Y)| <= c0*exp(-L*(kappa-3*kappa0-3)*d_LM(Y, mod Omega_(k+1)^c))","Eq. (506), input for Appendix F."
dimockii.eq272.restricted-covariance,dimockii.fluctuation-covariance.271-276,dimock_ii,Dimock II,source_extracted,"271, 272, 273, 274, 275, 276",True,normalized_formula,text_checked,Localized-region fluctuation covariance.,"C'_(k,Omega) = [Delta_(k,Omega)(Lambda_k^*) + (a/L^2)*Q^T*Q]^(-1) restricted to Omega_(k+1)",Eq. (272).
dimockii.eq273.square-root-resolvent,dimockii.fluctuation-covariance.271-276,dimock_ii,Dimock II,source_extracted,"271, 272, 273, 274, 275, 276",True,normalized_formula,text_checked,Integral representation of the covariance square root.,"(C'_(k,Omega))^(1/2) = (1/pi) * integral_0^infinity dr/sqrt(r) * C'_(k,Omega,r)",Eq. (273).
dimockii.eq274.resolvent-decomposition,dimockii.fluctuation-covariance.271-276,dimock_ii,Dimock II,source_extracted,"271, 272, 273, 274, 275, 276",True,normalized_formula,text_checked,Restricted resolvent identity feeding random-walk localization.,"C'_(k,Omega,r) = [A_(k,r) + a_k^2*A_(k,r)*Q_k*G'_(k,Omega,r)*Q_k^T*A_(k,r)] restricted to Omega_(k+1)",Eq. (274).
dimockii.eq507.boundary-factorization,dimockii.lemma3.19.boundary-removal.507-510,dimock_ii,Dimock II,source_extracted,"507, 508, 509, 510",True,verbatim_formula,cross_checked,Factorization of boundary and non-boundary contributions.,"Xi''_{k,Pi+}(1,1) = exp(sum_{Y # Lambda_{k+1}} B#_{k,Pi+}(Y)) * Xi''_{k,Pi+}(1,0)",Separates the boundary activities.
dimockii.eq508.boundary-bound,dimockii.lemma3.19.boundary-removal.507-510,dimock_ii,Dimock II,source_extracted,"507, 508, 509, 510",True,verbatim_formula,cross_checked,Decay of the localized boundary activity.,"|B#_{k,Pi+}(Y)| <= O(1)*L^3*lambda_k^(1/4-10*epsilon)*exp(-L*(kappa-6*kappa_0-6)*d_{LM}(Y, mod Omega_{k+1}^c))",Provides a localized decaying boundary activity.
dimockii.eq510.cauchy-boundary,dimockii.lemma3.19.boundary-removal.507-510,dimock_ii,Dimock II,source_extracted,"507, 508, 509, 510",True,normalized_formula,cross_checked,Cauchy representation of the boundary difference.,"B#(Y) = (1/(2*pi*i)) * integral_{|u|=R} H#(1,u,Y)/(u*(u-1)) du",Transfers the analytic H# bound to B#.
dimockii.eq627.modified-metric-sum,dimockii.lemmaE.3.modified-metric-summability.627-632,dimock_ii,Dimock II,source_extracted,"627, 628, 629, 630, 631, 632",True,verbatim_formula,cross_checked,Pinned modified-metric summability.,"sum_{X in D_k(mod Omega^c), X contains Box} exp(-kappa_0*d_M(X, mod Omega^c)) <= K_0",Gives a volume-uniform root sum for polymers with holes.
dimockii.eq628.metric-tree-comparison,dimockii.lemmaE.3.modified-metric-summability.627-632,dimock_ii,Dimock II,source_extracted,"627, 628, 629, 630, 631, 632",True,normalized_formula,cross_checked,Reduction to the active-region tree length.,"d_M(X, mod Omega^c) >= tilde_ell_M(X intersect Omega) >= (1/2)*ell_M(X intersect Omega)",Reduces modified-metric summability to an ordinary tree-counting estimate.
dimockii.eq205.normalization,dimockii.theorem3.1.normalization.201-205,dimock_ii,Dimock II,source_extracted,"201, 202, 205",True,normalized_formula,text_checked,Global normalization in the large-field representation.,"Z_(k+1) = Z_k * N_(a,T^1_(M+N-k))^(-1) * (2*pi)^(|T^0_(M+N-k)|/2) * (det C_k)^(1/2)","Eq. (205), with Z_0=1."
dimockiii.eq224.final-h-bound,dimockiii.final-stability.224-226,dimock_iii,Dimock III,source_extracted,"224, 225, 226",True,normalized_formula,text_checked,Final exponentiated polymer activity bound.,|H(X)| <= O(1)*lambda^(beta/2)*exp(-(kappa_prime-4*kappa0-4)*d_M(X)),Eq. (224).
dimockiii.eq225.stability,dimockiii.final-stability.224-226,dimock_iii,Dimock III,source_extracted,"224, 225, 226",True,normalized_formula,text_checked,Relative partition-function stability.,"exp(-lambda^eta*Vol(T_M)) <= Z_(M,N)/Z_(M,N)(0) <= exp(lambda^eta*Vol(T_M))","Corollary 1, Eq. (225)."
dimockiii.eq20.e-bound,dimockiii.theorem1.local-e-r-b-bounds.14-25,dimock_iii,Dimock III,source_extracted,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",True,normalized_formula,text_checked,Main local correction bound.,|E_k(X)| <= lambda_k^beta * exp(-kappa*d_M(X)),Eq. (20).
dimockiii.eq22.r-bound,dimockiii.theorem1.local-e-r-b-bounds.14-25,dimock_iii,Dimock III,source_extracted,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",True,normalized_formula,text_checked,Tiny local remainder bound.,"|R_(k,Pi)(X)| <= lambda_k^n0 * exp(-kappa*d_M(X))",Eq. (22).
dimockiii.eq25.active-boundary-bound,dimockiii.theorem1.local-e-r-b-bounds.14-25,dimock_iii,Dimock III,source_extracted,"14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25",True,normalized_formula,text_checked,Active boundary activity bound with holes.,"|B_(k,Pi)(X)| <= B0 * lambda_k^beta * exp(-kappa*d_M(X, mod Omega_k^c))","Eq. (25); B0 depends on L,M."
route.dimock.appendixf.hsharp,crosswalk.dimock.appendixf-hole-cluster-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,Dimock II Appendix F,False,normalized_formula,cross_checked,Appendix-F with-holes output bound.,"|H#(Y)| <= O(1)*H0*exp(-(kappa-3*kappa0-3)*d_M(Y, mod Omega^c))",Feeds AppendixFHsharp/omega-hole KP consumers.
route.eq229.d-sum.target,crosswalk.eq229.cammarota-dstage-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,"CMP116 2.29, Cammarota Theorem 1",False,normalized_formula,visual,Target D-stage product-sum bound.,sum_D prod_{Y in D} alpha6*exp(-delta*kappa*d_k(Y)) <= 1,Feeds CMP116Lemma3Eq229ScaleBoundary.
route.eq231.membership-iff.target,crosswalk.eq231.p-family-source-dictionary-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,"CMP116 2.31, CMP109 2.17",False,inferred,cross_checked,Target membership iff for the filtered P-family route.,"P in BalabanPFamily(Z,D) <-> P subset gapCubes(Z,D) x Fin 4 and admissible(Z,D,P) = true",Feeds cmp116Eq231PIndex_eq_sourceFilteredBondSets_of_mem_iff.
route.eq231.source-carrier-identification.target,crosswalk.eq231.p-family-source-dictionary-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,"CMP116 2.31, CMP109 2.17",False,inferred,cross_checked,Target source-carrier identification needed before using the repository carrier-count theorem for Balaban's P family.,"BalabanEligibleCarrier(Z0,Y0) encodes into gapCubes(Z,D) x Fin 4; then |gapCubes x Fin 4| = 4*M^4*gapMass(Z,D)",Uses the already named Lean carrier-count theorem after the source carrier identification is supplied.
route.eq237.fixed-z0prime.target,crosswalk.eq237.combined-postp-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,"CMP116 2.37, CMP116 2.38",False,inferred,cross_checked,Target fixed-Z0' post-P majorization shape.,fixed_Z0_prime_bound * final_Z0_prime_sum -> CMP116PostPResidualSourceBound,Feeds cmp116PostPResidualSourceBound_of_eq237.
route.frontier.dag,crosswalk.final-frontier-pipeline,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,,False,inferred,cross_checked,High-level dependency DAG for source closure.,sources -> dictionaries -> finite resummation boundaries -> activity estimate -> polymer-local R/H# -> flow/IR -> final consumers,LLM navigation skeleton.
route.flow.marginal-vs-irrelevant,crosswalk.flow-ir-asymptotic-freedom-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,"CMP109 coupling recursion, CMP119 2.24",False,inferred,cross_checked,Do not identify marginal coupling with geometric remainder contraction.,"g_k marginal ~ 1/log(k) or 1/k-type control, while irrelevant remainder <= C*r^k requires separate scaling theorem",Prevents wrong hg source citation.
route.gaussian.root-map,crosswalk.gaussian-root-activity-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,"CMP116 2.5-2.10, Dimock II 271-276",False,inferred,cross_checked,Gaussian/root activity source package route.,gaussian_pushforward + root_localization + wilson_hessian_identification + local_activity_construction + raw_pointwise_decay -> rawSource,Feeds PhysicalGaugeCMP116LocalizedGaussianRawActivitySourceHypotheses.
route.r-operation.polymer-local,crosswalk.r-operation-polymer-local-route,repo_operational_crosswalk,Repo operational crosswalk,lean_linked,"CMP119 2.31, CMP122-I 1.70, CMP122-II 1.98-1.100",False,normalized_formula,cross_checked,Polymer-local R-operation shape.,"|R^(j)(X,(U,J))| <= g_j^kappa0*exp(-kappa*d_j(X)) and |R'^(k)(X,(U,J))| <= exp(-p0(g_k))*exp(-kappa*d_k(X))",Feeds RawYMActivityDecay after a source-to-Lean polymer dictionary.
